State	Code	Score
Alabama	US-AL	0
Alaska	US-AK	0
Arizona	US-AZ	0
Arkansas	US-AR	0
California	US-CA	2
Colorado	US-CO	0
Connecticut	US-CT	1
Delaware	US-DE	0
Florida	US-FL	0
Georgia	US-GA	0
Hawaii	US-HI	0
Idaho	US-ID	0
Illinois	US-IL	0
Indiana	US-IN	0
Iowa	US-IA	0
Kansas	US-KS	0
Kentucky	US-KY	0
Louisiana	US-LA	0
Maine	US-ME	0
Maryland	US-MD	0
Massachusetts	US-MA	0
Michigan	US-MI	0
Minnesota	US-MN	0
Mississippi	US-MS	0
Missouri	US-MO	0
Montana	US-MT	0
Nebraska	US-NE	0
Nevada	US-NV	0
New Hampshire	US-NH	0
New Jersey	US-NJ	0
New Mexico	US-NM	0
New York	US-NY	0
North Carolina	US-NC	0
North Dakota	US-ND	0
Ohio	US-OH	0
Oklahoma	US-OK	0
Oregon	US-OR	0
Pennsylvania	US-PA	0
Rhode Island	US-RI	0
South Carolina	US-SC	0
South Dakota	US-SD	0
Tennessee	US-TN	0
Texas	US-TX	0
Utah	US-UT	0
Vermont	US-VT	0
Virginia	US-VA	0
Washington	US-WA	0
West Virginia	US-WV	0
Wisconsin	US-WI	0
Wyoming	US-WY	0